"","software","category"
"172","MANTiS","Gene duplication and genomic analysis"
"173","MAPPS","Model Selection"
"174","Mavric","Interactive tree manipulation;Tree plotting/drawing"
"175","MBEToolbox","Sequence management/job submission"
"176","McRate","Maximum likelihood methods;Clocks, dating and stratigraphy"
"177","MEGA","General-purpose packages;Parsimony programs;Distance matrix methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees;Clocks, dating and stratigraphy;Tree plotting/drawing"
"178","MESA","Interactive tree manipulation;Simulation of trees or data;Examination of shapes of trees;Description or prediction of data from trees"
"179","Mesquite","General-purpose packages;Maximum likelihood methods;Bayesian inference methods;Interactive tree manipulation;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees;Comparative method analysis;Simulation of trees or data;Tree plotting/drawing"
"180","MetaPIGA","Maximum likelihood methods;Artificial-intelligence and genetic algorithms methods"
"181","METREE","Distance matrix methods"
"182","Mgenome","Gene duplication and genomic analysis"
"183","Microsat","Computation of distances"
"184","MINSPNET","Distance matrix methods"
"185","MixtureTree","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Tree plotting/drawing"
"186","Modelfit","Maximum likelihood methods;Model Selection"
"187","ModelGenerator","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Model Selection"
"188","Modeltest","Maximum likelihood methods;Clocks, dating and stratigraphy;Model Selection"
"189","ModelTest","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"190","MOLPHY","Maximum likelihood methods"
"191","MrAIC","Maximum likelihood methods;Model Selection"
"192","MrBayes","Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"193","MrBayes tree scanners","Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"194","MrBayesPlugin","Bayesian inference methods"
"195","MrEnt","Tree plotting/drawing"
"196","MrModeltest","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Clocks, dating and stratigraphy;Model Selection"
"197","MrMTgui","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Clocks, dating and stratigraphy;Model Selection"
"198","MSA","Computation of distances"
"199","MULTICOMP","Computation of distances"
"200","Multidivtime","Bayesian inference methods"
"201","MultiPhyl","Maximum likelihood methods"
"202","Murka","Parsimony programs;Computation of distances;Compatibility analysis;Consensus trees, subtrees, supertrees, and distances between trees;Clocks, dating and stratigraphy"
"203","MUSCLE","Tree-based sequence alignment"
"204","MUST 2000","Sequence management/job submission"
"205","MVSP","Distance matrix methods;Computation of distances"
"206","NEPAL","Maximum likelihood methods"
"207","NetRecodon","Simulation of trees or data"
"208","Network","Parsimony programs;Looking for hybridization or recombination events;Simulation of trees or data;Clocks, dating and stratigraphy"
"209","NHML","Maximum likelihood methods;Clocks, dating and stratigraphy"
"210","nhPhyML","Maximum likelihood methods"
"211","NimbleTree","Parsimony programs;Distance matrix methods;Maximum likelihood methods;Sequence management/job submission"
"212","NINJA SeaView","Distance matrix methods"
"213","NJplot","Tree plotting/drawing"
"214","nneighbor","Distance matrix methods"
"215","NONA","Parsimony programs"
"216","Notung","Parsimony programs;Interactive tree manipulation;Gene duplication and genomic analysis;Tree plotting/drawing"
"217","NSA","Computation of distances"
"218","NTSYSpc","Distance matrix methods;Computation of distances;Consensus trees, subtrees, supertrees, and distances between trees"
"219","ODEN","Distance matrix methods"
"220","OSA","Computation of distances;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"221","OUCH","Comparative method analysis"
"222","p4","Maximum likelihood methods;Bayesian inference methods"
"223","PAL","General-purpose packages;Distance matrix methods;Computation of distances;Maximum likelihood methods;Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Simulation of trees or data;Examination of shapes of trees;Clocks, dating and stratigraphy"
"224","Paloverde","Tree plotting/drawing"
"225","PAML","Maximum likelihood methods;Bayesian inference methods;Simulation of trees or data;Clocks, dating and stratigraphy"
"226","ParaFit","Biogeographic analysis and host-parasite comparison"
"227","PARBOOT","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Sequence management/job submission"
"228","Parsimov","Parsimony programs;Comparative method analysis"
"229","partimatrix","Looking for hybridization or recombination events;Compatibility analysis"
"230","PASSML","Maximum likelihood methods"
"231","PAST","Parsimony programs;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees;Clocks, dating and stratigraphy"
"232","PATHd8","Clocks, dating and stratigraphy"
"233","PAUP\*","General-purpose packages;Parsimony programs;Distance matrix methods;Computation of distances;Maximum likelihood methods;Invariants (or Evolutionary Parsimony) methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees;Tree plotting/drawing"
"234","PAUPRat","Parsimony programs;Maximum likelihood methods"
"235","PaupUp","General-purpose packages;Parsimony programs;Distance matrix methods;Computation of distances;Maximum likelihood methods;Invariants (or Evolutionary Parsimony) methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees;Tree plotting/drawing"
"236","PC-ORD","Distance matrix methods"
"237","pcca","Comparative method analysis"
"238","PDAP","Interactive tree manipulation;Comparative method analysis"
"239","PEBBLE","Distance matrix methods;Clocks, dating and stratigraphy"
"240","Permute!","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Comparative method analysis"
"241","phangorn","General-purpose packages;Parsimony programs;Distance matrix methods;Maximum likelihood methods;Consensus trees, subtrees, supertrees, and distances between trees"
"242","PHASE","Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"243","Phybase","Interactive tree manipulation;Compatibility analysis;Consensus trees, subtrees, supertrees, and distances between trees;Comparative method analysis"
"244","PHYDIT","Sequence management/job submission"
"245","Phylap","Teaching about phylogenies"
"246","Phyledit","Sequence management/job submission"
"247","PHYLIP","General-purpose packages;Parsimony programs;Distance matrix methods;Computation of distances;Maximum likelihood methods;Invariants (or Evolutionary Parsimony) methods;Interactive tree manipulation;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Compatibility analysis;Consensus trees, subtrees, supertrees, and distances between trees;Comparative method analysis;Clocks, dating and stratigraphy;Tree plotting/drawing"
"248","PHYLLAB","Maximum likelihood methods;Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Tree plotting/drawing"
"249","Phylo_win","General-purpose packages;Parsimony programs;Distance matrix methods;Computation of distances;Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"250","PhyloBayes","Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Clocks, dating and stratigraphy"
"251","PhyloCoCo","Maximum likelihood methods"
"252","Phylocom","Interactive tree manipulation;Biogeographic analysis and host-parasite comparison"
"253","Phylodendron","Tree plotting/drawing"
"254","Phylogen","Simulation of trees or data"
"255","Phylogenetic Independence","Comparative method analysis"
"256","Phylogenetic Investigator","Teaching about phylogenies"
"257","Phylogenetic Tree Drawing","Tree plotting/drawing"
"258","PHYLOGR","Comparative method analysis"
"259","PhyloNet","Parsimony programs;Looking for hybridization or recombination events;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"260","PhyloQuart","Quartets methods"
"261","PhyloSort","Consensus trees, subtrees, supertrees, and distances between trees"
"262","PhyloWidget","Interactive tree manipulation;Tree plotting/drawing"
"263","PHYLTEST","Distance matrix methods;Quartets methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Clocks, dating and stratigraphy"
"264","Phyltools","Computation of distances;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"265","PHYML","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"266","PhyML-Multi","Maximum likelihood methods;Looking for hybridization or recombination events"
"267","PhyNav","Maximum likelihood methods;Consensus trees, subtrees, supertrees, and distances between trees"
"268","PhyRe","Examination of shapes of trees"
"269","PhySIC_IST EEEP","Consensus trees, subtrees, supertrees, and distances between trees"
"270","PHYSIG","Maximum likelihood methods;Comparative method analysis"
"271","Phyutility","Interactive tree manipulation;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees;Examination of shapes of trees"
"272","PICA","Quartets methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Compatibility analysis"
"273","PISE","Sequence management/job submission"
"274","PLATO","Maximum likelihood methods;Looking for hybridization or recombination events"
"275","POPGENE","Computation of distances"
"276","POPTREE2","Distance matrix methods;Computation of distances;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Tree plotting/drawing"
"277","Populations","Distance matrix methods;Computation of distances"
"278","Porn\*","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Clocks, dating and stratigraphy;Model Selection"
"279","POY","Parsimony programs;Tree-based sequence alignment"
"280","PPH","Looking for hybridization or recombination events;Compatibility analysis"
"281","PRAP","Parsimony programs;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"282","PRAP SeqState","Maximum likelihood methods"
"283","PROCOV","Maximum likelihood methods"
"284","ProfDist","Distance matrix methods"
"285","ProSeq","Simulation of trees or data"
"286","ProtTest","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Model Selection"
"287","PSeq-Gen","Simulation of trees or data"
"288","PSODA","Parsimony programs"
"289","PTP","Distance matrix methods;Maximum likelihood methods;Artificial-intelligence and genetic algorithms methods"
"290","puzzleboot","Computation of distances;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"291","PyCogent","Sequence management/job submission"
"292","qclust","Distance matrix methods;Computation of distances"
"293","QDate","Clocks, dating and stratigraphy"
"294","Quartet Suite","Quartets methods;Consensus trees, subtrees, supertrees, and distances between trees"
"295","QuickTree Simplot","Distance matrix methods"
"296","r8s","Clocks, dating and stratigraphy"
"297","r8s-bootstrap","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"298","RA","Parsimony programs"
"299","RadCon","Interactive tree manipulation;Consensus trees, subtrees, supertrees, and distances between trees;Examination of shapes of trees"
"300","Rainbow","Consensus trees, subtrees, supertrees, and distances between trees"
"301","Random Cladistics","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Sequence management/job submission"
"302","RAPDistance","Computation of distances"
"303","rate-evolution","Maximum likelihood methods;Clocks, dating and stratigraphy"
"304","Rate4Site","Distance matrix methods;Maximum likelihood methods"
"305","RAxML","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees"
"306","raxmlGUI","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees"
"307","RDP3","Looking for hybridization or recombination events"
"308","REAP","Computation of distances"
"309","Recodon","Simulation of trees or data"
"310","RecPars","Looking for hybridization or recombination events"
